origin (2013 area unit name),destination,distance (kilometers),time (hours)
Abbotts Park,Abbotts Park,0.0,0.0
Abbotts Park,Akarana,10.744,0.8433333333333334
Abbotts Park,Albany,28.695,1.6541666666666666
Abbotts Park,Algies Bay,76.207,1.9986111111111111
Abbotts Park,Ambury,15.446,1.2975
Abbotts Park,Aorere,12.396,1.0352777777777777
Abbotts Park,Arahanga,12.521,0.8044444444444444
Abbotts Park,Arch Hill,8.478,0.9561111111111111
Abbotts Park,Ardmore,32.197,1.7069444444444444
Abbotts Park,Armour Bay,,
Abbotts Park,Army Bay,73.679,2.8266666666666667
Abbotts Park,Auckland Central East,7.129,0.7094444444444444
Abbotts Park,Auckland Central West,10.476,0.9288888888888889
Abbotts Park,Auckland Harbourside,7.498,0.6011111111111112
Abbotts Park,Avondale South,15.387,1.2602777777777778
Abbotts Park,Avondale West,15.731,1.0430555555555556
Abbotts Park,Awaruku,30.953,1.5675
Abbotts Park,Awhitu,,
Abbotts Park,Balmoral,8.441,0.5608333333333333
Abbotts Park,Baverstock Oaks,18.009,1.1041666666666667
Abbotts Park,Bayswater,11.841,1.25
Abbotts Park,Beachhaven North,26.326,1.5622222222222222
Abbotts Park,Beachhaven South,23.286,1.4272222222222222
Abbotts Park,Beachlands-Maraetai,38.645,2.7319444444444443
Abbotts Park,Beaumont,21.001,0.9636111111111111
Abbotts Park,Birdwood East,27.473,1.8
Abbotts Park,Birdwood West,35.27,1.9797222222222222
Abbotts Park,Birkdale North,27.897,1.6255555555555556
Abbotts Park,Birkdale South,22.616,1.4391666666666667
Abbotts Park,Birkenhead East,16.564,1.2116666666666667
Abbotts Park,Bleakhouse,14.796,1.033611111111111
Abbotts Park,Bledisloe Park,42.254,1.78
Abbotts Park,Blockhouse Bay,16.512,1.136111111111111
Abbotts Park,Bombay,40.646,1.3841666666666668
Abbotts Park,Bremner,55.215,1.9722222222222223
Abbotts Park,Browns Bay,30.047,1.5863888888888888
Abbotts Park,Buckland,51.05,1.8736111111111111
Abbotts Park,Bucklands Beach South,14.03,1.1633333333333333
Abbotts Park,Bucklands and Eastern Beaches,16.17,1.1944444444444444
Abbotts Park,Burbank,18.331,1.015
Abbotts Park,Burswood,13.33,0.8575
Abbotts Park,Campbells Bay,26.534,1.5922222222222222
Abbotts Park,Cape Rodney,90.481,2.1577777777777776
Abbotts Park,Cape Rodney South,73.341,1.9152777777777779
Abbotts Park,Castor Bay,25.335,1.4880555555555555
Abbotts Park,Chelsea,21.728,1.505
Abbotts Park,Clendon North,19.504,1.2430555555555556
Abbotts Park,Clendon South,24.568,1.2744444444444445
Abbotts Park,Clevedon,,
Abbotts Park,Clover Park,19.32,1.0922222222222222
Abbotts Park,Cockle Bay,17.504,1.113888888888889
Abbotts Park,Crown Hill,21.076,1.4208333333333334
Abbotts Park,Crum Park,25.879,1.3725
Abbotts Park,Dairy Flat-Redvale,35.432,1.885
Abbotts Park,Dannemora,12.671,0.8119444444444445
Abbotts Park,Dingwall,13.428,0.9261111111111111
Abbotts Park,Donegal Park,20.025,1.235
Abbotts Park,Drury,,
Abbotts Park,Durham Green,25.446,1.1922222222222223
Abbotts Park,Eden Road-Hill Top,48.554,2.1866666666666665
Abbotts Park,Eden Terrace,6.317,0.7180555555555556
Abbotts Park,Edgewater,8.767,0.595
Abbotts Park,Edmonton,21.744,1.1425
Abbotts Park,Ellerslie North,1.634,0.21388888888888888
Abbotts Park,Ellerslie South,2.112,0.2525
Abbotts Park,Elsmore Park,12.522,0.8280555555555555
Abbotts Park,Epsom Central,6.065,0.5213888888888889
Abbotts Park,Epsom North,6.845,0.6458333333333334
Abbotts Park,Epsom South,8.112,0.7141666666666666
Abbotts Park,Fairburn,10.837,0.7719444444444444
Abbotts Park,Fairdene,25.817,1.3525
Abbotts Park,Fairview,24.534,1.5008333333333332
Abbotts Park,Favona North,11.006,0.8630555555555556
Abbotts Park,Favona South,12.934,0.9772222222222222
Abbotts Park,Favona West,12.232,0.965
Abbotts Park,Ferguson,17.649,1.0147222222222223
Abbotts Park,Ferndale,4.386,0.5130555555555556
Abbotts Park,Forrest Hill,20.628,1.2472222222222222
Abbotts Park,Freemans Bay,12.419,0.8955555555555555
Abbotts Park,Fruitvale,17.386,1.22
Abbotts Park,Glamorgan,29.068,1.6872222222222222
Abbotts Park,Glen Eden East,17.445,1.1522222222222223
Abbotts Park,Glen Innes East,8.125,0.39222222222222225
Abbotts Park,Glen Innes North,8.471,0.4638888888888889
Abbotts Park,Glen Innes West,7.249,0.39
Abbotts Park,Glenavon,13.492,1.1219444444444444
Abbotts Park,Glenbrook,49.914,1.6705555555555556
Abbotts Park,Glendene North,22.498,1.363611111111111
Abbotts Park,Glendene South,21.889,1.378611111111111
Abbotts Park,Glendhu,21.92,1.4419444444444445
Abbotts Park,Glendowie,10.071,0.5677777777777778
Abbotts Park,Glenfield Central,20.042,1.3247222222222221
Abbotts Park,Glenfield North,20.306,1.1577777777777778
Abbotts Park,Golfland,13.572,0.9233333333333333
Abbotts Park,Grafton East,5.612,0.61
Abbotts Park,Grafton West,8.514,0.6483333333333333
Abbotts Park,Grange,12.447,0.8269444444444445
Abbotts Park,Great Barrier Island,,
Abbotts Park,Green Bay,23.463,1.2375
Abbotts Park,Greenhithe,27.298,1.698611111111111
Abbotts Park,Greenmount,14.334,0.9855555555555555
Abbotts Park,Grey Lynn East,8.216,1.008888888888889
Abbotts Park,Grey Lynn West,10.162,1.0780555555555555
Abbotts Park,Gulf Harbour,70.505,2.662777777777778
Abbotts Park,Half Moon Bay,11.349,0.7122222222222222
